CYGBLD_FS_ROMFS_MK_ROMFS, Bool
CYGFUN_INFRA_DUMMY_STRLEN, Bool
CYGIMP_KERNEL_COUNTERS_SORT_LIST, Bool
CYGNUM_UITRON_ALARMS, Number
CYGPKG_IO_SERIAL_TERMIOS_TERMIOS1, Bool
CYGIMP_KERNEL_SYNCH_MQUEUE_NOT_INLINE, Bool
CYGPKG_NET_BUILD_TESTS, Bool
CYGPKG_NET_SNTP_OPTIONS, Bool
CYGPKG_UITRON_MEMPOOLVAR, Bool
CYGSEM_KERNEL_SCHED_TIMESLICE, Bool
CYGPKG_MEMALLOC_ALLOCATOR_SEPMETA, Bool
CYGPKG_INFRA_STARTUP, Bool
CYGBLD_ISO_POSIX_LIMITS_HEADER, String
CYGDBG_KERNEL_INSTRUMENT_BINSEM, Bool
CYGDAT_NS_DNS_DOMAINNAME_NAME, String
CYGPKG_POWER_THREAD, Bool
CYGNUM_RAMFS_BLOCKS_INDIRECT1, Number
CYGDBG_KERNEL_INSTRUMENT_BUFFER_WRAP, Bool
CYGSEM_KERNEL_SCHED_ASR_DATA_GLOBAL, Bool
CYGPKG_ISO_STARTUP, Bool
CYGPKG_IO_SERIAL_GENERIC_16X5X_FIFO_RX_THRESHOLD, Number
CYGPKG_NET_FTPCLIENT_CFLAGS_ADD, String
CYGINT_ISO_QSORT, Number
CYGPKG_NET_NUM_WAKEUP_EVENTS, String
CYGPKG_LIBC_STDIO_FLOATING_POINT, Bool
CYGPKG_IO_SERIAL_TTY_TTY3, Bool
CYGNUM_IO_FLASH_BLOCK_CFG_FIS_1, Bool
CYGPKG_NS_DNS_OPTIONS, Bool
CYGPKG_NET_FREEBSD_STACK_CFLAGS_ADD, String
CYGHWR_HAL_I386_PENTIUM, Bool
CYGPKG_NET_IPSEC, Bool
CYGIMP_MEMALLOC_ALLOCATOR_DLMALLOC_THREADAWARE, Bool
CYGINT_ISO_STRERROR, Number
CYGNUM_LIBC_RAND_SEED, Number
CYGDBG_KERNEL_INSTRUMENT_CLOCK, Bool
CYGBLD_ISO_SCHEDTYPES_HEADER, String
CYGNUM_UITRON_MBOXES_INITIALLY, Number
CYGSEM_HAL_VIRTUAL_VECTOR_CLAIM_VERSION, Bool
CYGPKG_PPP_COMPRESSION, Bool
CYGSEM_LIBC_PER_THREAD_RAND, Bool
CYGPKG_ISOINFRA, Bool
CYGPKG_LIBM_THREAD_SAFETY, Bool
CYGIMP_LIBC_STDIO_INLINES, Bool
CYGINT_ISO_SIGNAL_IMPL, Number
CYGBLD_ISO_NETDB_SERV_HEADER, String
CYGPKG_POSIX_PTHREAD_REQUIREMENTS, Bool
CYGBLD_ISO_OPEN_HEADER, String
CYGPKG_UITRON_MEMPOOLFIXED, Bool
CYGINT_ISO_BSEARCH, Number
CYGPKG_HTTPD, Bool
CYGINT_WALLCLOCK_IMPLEMENTATIONS, Number
CYGPKG_FS_RAM_BLOCKS_ARRAY_EXTERN, Bool
CYGINT_IO_SERIAL_TEST_SKIP_19200, Number
CYGBLD_ISO_TZSET_HEADER, String
CYGPKG_LIBC_STARTUP, Bool
CYGNUM_IO_FLASH_BLOCK_CFG_STATIC_1, Bool
CYGINT_LIBC_I18N_MB_REQUIRED, Number
CYGDAT_PPP_TEST_BAUD_RATES, String
CYGPKG_NET_NLOOP, String
CYGINT_HAL_SUPPORTS_MMU_TABLES, Number
CYGFUN_KERNEL_THREADS_STACK_MEASUREMENT, Bool
CYGOPT_NET_DHCP_DHCP_THREAD, Bool
CYGNUM_MEMALLOC_ALLOCATOR_DLMALLOC_ALIGNMENT, Number
CYGPKG_IO_FLASH_CFLAGS_REMOVE, String
CYGFUN_HAL_I386_PCMB_GPROF_SUPPORT, Bool
CYGSEM_HAL_VIRTUAL_VECTOR_SUPPORT, Bool
TMP_MAX, Number
CYGDAT_LIBC_ARGUMENTS, String
CYGPKG_KERNEL_THREADS_DESTRUCTORS, Bool
CYGDAT_IO_SERIAL_FLOW_CONTROL_DEFAULT, String
CYGPKG_IO_ETH_DRIVERS_LWIP, Bool
CYGNUM_VNC_SERVER_PIXEL_TRUECOLOR0888, Bool
CYGNUM_LIBM_X_TLOSS, Number
_POSIX_PRIORITY_SCHEDULING, Bool
CYGBLD_ISO_STDIO_FILEACCESS_HEADER, String
CYGHWR_HAL_I386_FPU_SWITCH_LAZY, Bool
CYGPKG_UITRON_TESTS, String
CYGBLD_ISO_POSIX_CLOCKS_HEADER, String
CYGPKG_LIBC_STDLIB_CFLAGS_ADD, String
CYGINT_ISO_PTHREAD_MUTEX, Number
CYGPKG_SNMPAGENT, Bool
CYGHWR_NET_DRIVER_ETH0_SETUP, Number
CYGNUM_VNC_SERVER_PIXEL_SELECTED, Number
CYGPKG_NS_DNS_TESTS_LUNN, Bool
CYGPKG_NS_DNS_DOMAINNAME, Bool
CYGIMP_LIBC_RAND_SIMPLEST, Bool
CYGPKG_IO_SERIAL_GENERIC_16X5X_XMIT_REQUIRE_PRIME, Bool
CYGPKG_KERNEL_INSTRUMENT, Bool
CYGBLD_ISO_STDLIB_ABS_HEADER, String
CYGIMP_MEMALLOC_MALLOC_VARIABLE_SIMPLE, Bool
CYGPKG_POWER, Bool
CYGBLD_ISO_STRTOK_R_HEADER, String
CYGPKG_IO_PCI_CFLAGS_ADD, String
CYGDAT_DEVS_ETH_I386_PC_LANCEPCI_ETH0_NAME, String
CYGNUM_UITRON_ISR_ACTION_QUEUESIZE, Number
CYGINT_ISO_EXIT, Number
CYGBLD_ISO_ERRNO_HEADER, String
CYGPKG_LIBC_STARTUP_CFLAGS_REMOVE, String
CYGINT_ISO_MALLINFO, Number
CYGIMP_LIBC_STDLIB_INLINE_DIV, Bool
CYGOPT_FS_JFFS2_COMPRESS_RTIME, Bool
CYGPKG_NET_MEM_USAGE, String
CYGFUN_LIBC_I18N_LOCALE_C_SJIS, Bool
CYGDBG_NET_SHOW_MBUFS, Bool
CYGDAT_LIBC_DEFAULT_ENVIRONMENT, String
CYGVAR_KERNEL_COUNTERS_CLOCK, Bool
CYGNUM_KERNEL_COUNTERS_MULTI_LIST_SIZE, Number
CYGPKG_IO_SERIAL_GENERIC_16X5X_CFLAGS_REMOVE, String
CYGPKG_NET_FREEBSD_IPSEC, Bool
CYGPKG_HAL_I386, Bool
CYGVAR_KERNEL_THREADS_LIST, Bool
CYGSEM_IO_ETH_DRIVERS_PASS_PACKETS, Bool
CYGFUN_KERNEL_ALL_THREADS_STACK_CHECKING, Bool
CYGIMP_LIBC_TIME_ASCTIME_R_INLINE, Bool
CYGPKG_LIBC_STRING_OPTIONS, Bool
CYGPKG_NET_INET, Bool
CYGPKG_KERNEL_DEBUG, Bool
CYGBLD_ISO_MEMSET_HEADER, String
CYGBLD_ISO_C_CLOCK_FUNCS_HEADER, String
CYGPKG_IO_SERIAL_TTY_TTY1, Bool
CYGNUM_VNC_SERVER_PRIORITY, Number
CYGINT_KERNEL_SYNCH_MUTEX_PRIORITY_INVERSION_PROTOCOL_COUNT, Number
CYGPKG_LIBC_STRING, Bool
CYGSEM_KERNEL_SYNCH_MUTEX_PRIORITY_INVERSION_PROTOCOL_CEILING, Bool
CYGPKG_FS_ROM, Bool
CYGINT_ISO_C_TIME_TYPES, Number
CYGINT_IO_SERIAL_TEST_SKIP_115200, Number
CYGPKG_POSIX_MAIN_THREAD, Bool
CYGIMP_LIBC_STRING_INLINES, Bool
CYGPKG_KERNEL_EXCEPTIONS, Bool
CYGHWR_HAL_I386_PENTIUM_SSE, Bool
CYGPKG_POSIX_PTHREAD_VALUES, Bool
CYGSEM_KERNEL_SYNCH_MUTEX_PRIORITY_INVERSION_PROTOCOL_DEFAULT, String
CYGPKG_UITRON_ALARMS, Bool
CYGPKG_PPP_OPTIONS, Bool
CYGSEM_SNMPAGENT_TESTS_SNMPv3, Bool
CYGPKG_NS_DNS, Bool
CYGPKG_IO_SERIAL_TTY_TTYDIAG, Bool
CYGNUM_HAL_VIRTUAL_VECTOR_COMM_CHANNELS, Number
CYGDBG_KERNEL_INSTRUMENT_INTR, Bool
CYGPKG_NET_SNTP, Bool
CYGPKG_SNMPLIB_OPTIONS, Bool
CYGSEM_UITRON_PARAMS_NULL_IS_GOOD_PTR, Bool
CYGNUM_HTTPD_SERVER_AUTO_START, Bool
CYGSEM_UITRON_TIME_IS_MILLISECONDS, Bool
CYGPKG_LIBC_STDIO_CFLAGS_REMOVE, String
CYGNUM_HTTPD_THREAD_COUNT, String
CYGNUM_FS_FAT_BLOCK_CACHE_MEMSIZE, Number
CYGDBG_INFRA_DEBUG_FUNCTION_PSEUDOMACRO, Bool
CYGPKG_UITRON_SEMAS_CREATE_DELETE, Bool
CYGPKG_IO_DISK_OPTIONS, Bool
CYGINT_KERNEL_INTERRUPTS_DSRS, Number
CYGBLD_ISO_RAND_HEADER, String
CYGPKG_LIBC_STARTUP_CONTEXT, Bool
CYGIMP_WALLCLOCK_HARDWARE, Bool
CYGPKG_NET_FTPCLIENT, Bool
CYGNUM_KERNEL_THREADS_DATA_KERNEL, Number
CYGPKG_UITRON_TASKS, Bool
CYGHWR_NET_DRIVER_ETH0_MANUAL, Bool
